序号,帖子标题,分类,置信度,关键词,作者
1448,法式千层酥这动画演出真的太烂了,动画/番剧,0.95,"千层酥, 角色, 立绘",renkan119
1464,现在的cos都这么狠吗？,动画/番剧,0.95,"cosplay, cos, 现在的cos, 角色",养猫男mk3
1449,哎这天龙人也太坏了,动画/番剧,0.95,"神之谷, 天龙人, 尾田",impact4
1450,哪种催眠是你的最爱,动画/番剧,0.95,"催眠, 动画",Just｜Monika
1451,炼金工房系列红白炼金工房开发完成之舞,游戏,0.95,"炼金工房, 红白炼金工房",丶夜鹰之梦丶
1452,令和骑士让你拉满血压的四大时刻,动画/番剧,0.95,"令和骑士, RX-78",Hemioh
1453,美剧这上床如流水实在有点无语啊,动画/番剧,0.95,"神盾局特工, 异性",doyun26
1454,求助找个游戏,游戏,0.95,"魔王, 女神, 兄弟姐妹, 女仆",q79299750
1455,乐园计划？扶她女友的海王养成计划,轻小说,0.95,"扶她, 海王, 养成, 女友",愚鱼欲与渔语
1456,[拼装][og凯子系列]白骑士拼完了,动画/番剧,0.95,"og凯子, 白骑士",咕嗒咕嗒狛绝势力
12,《哪吒2》日语配音版年末上映，声优公开,动画/番剧,0.95,"哪吒2, 田村睦心, 増田俊樹, 東海龍王, 陳塘関",Overtheworld1st
1457,[氵] 有关新三的三国elo机制 大伙学成语的时候没这么想过吗,游戏,0.95,"三国, elo机制, 胜率, 公式",麦林Mognum
11,话说有什么作品里同时有机械飞升的人类和强人工智能的？,动画/番剧,0.95,"机械飞升, 强人工智能, 同一作者",Twm1997
1459,[搬运]六花合体！！,动画/番剧,0.95,"六花, 合体",witchspring
1460,[直播]重温王牌投手振臂高挥(大振)漫画,漫画,0.95,"王牌投手振臂高挥, 大振",JCJVHNVJH
10,30ms天海春香，感觉这裙子不太行(,动画/番剧,0.95,"天海春香, 裙子, 飞跃蓝天",如月千歲
1463,石丸的声音素材是不是选的过于老了,动画/番剧,0.95,"石丸科研, 光子力光束, 神谷明",oftc3121
1417,[小报]《刃牙道》动画化 26年Netflix独家播出,动画/番剧,0.95,"刃牙道, 范马刃牙, TMS ENTERTAINMENT, 范马勇次郎, 德川老翁",SakaiShana
29,伊莉雅：master救我！,动画/番剧,0.95,"伊莉雅, master, Fate/stay night",KumikoP2
1356,[可动成品] 万代 FIX 精神力高达MK2 新吉翁样式,手办/周边,0.95,"万代, FIX, 精神力高达, MK2, 吉翁",汉堡多酱不加生菜
1377,剧透氵阴阳回天彻底不装就是膜废狗了,游戏,0.95,"回天, 异闻带之王, 迦勒底, 混沌恶",紧急避险无罪
52,[专楼]  [VSPO] ぶいすぽっ！综合讨论贴,虚拟主播/VTuber,0.95,"ぶいすぽっ！(VSPO), Neo-Porte, Veepigenesis, 小雀, 如月 れん",沐瞳之歌
1373,[新番讨论][专楼][轻改]2025年7月新番《转生七王子的魔法全解》(每周三23:35) ep22...,动画/番剧,0.95,"转生七王子的魔法全解, 罗伊德·迪·萨鲁姆, 吉利尔, 神圣魔法, 教会篇",hzcjian
1374,[拼装] 白昼流星288，xhs有券可以238,动画/番剧,0.95,"白昼流星, xhs, 288",dicat
51,[P6]环PH-P圈综合讨论楼,虚拟主播/VTuber,0.95,"VUP, PiHua-Project, 秦宓, 电台区主播, 直播内容",很帅的圆
1375,爱丽数码的一生,轻小说,0.95,"爱丽数码, 帝吉陀, 阿基里斯, 转轮圣王, 白象神",土拨鼠的邻居河狸
49,Vtuber综合讨论区,虚拟主播/VTuber,0.95,"Vtuber, 综合讨论区",UID:0
1376,突然发现小时候看的动画片的片头曲都好豪华,动画/番剧,0.95,"恐龙宝贝, 神兵小将, 戴拿奥特曼, 赛尔号, 林俊杰",xyz_official
48,[专楼]这里是椎名立希的真爱楼,动画/番剧,0.95,"椎名立希, MyGO!!!!!, Ave Mujica, Crychic, 邦多利世界观",SaIN_TH
1414,刃牙道动画化,动画/番剧,0.95,"刃牙, 道骨, 刃牙道",无漏的伟健
1378,[拼装]聚匠这柯西，模具怕是干冒烟了。,手办/周边,0.95,"高达, 聚匠柯西, 模具, 刻线, 合模线",匆是青的松
47,真爱楼合集,动画/番剧,0.95,"真爱, 楼合集",harryshan
46,[专楼] 高松灯 真爱楼 (对邦众花篮宣传&楼内金主诚邀主催),动画/番剧,0.95,"高松灯, 羽丘中学, MyGO!!!!!, Crychic, 灯希",专版真爱楼开贴号
45,[剧透] Mujica X 明日方舟 进阶备战&剧情交流楼(施工中),游戏,0.95,"明日方舟, 漏油, 霜二字, 粥, UID",王沐希DragonJean
1381,岸田梅尔：只是男人穿了件可爱衣服而已,动画/番剧,0.95,"岸田梅尔, 可爱衣服",SakaiShana
44,MyGO!!!!! & Ave Mujica,游戏,0.95,"MyGO!!!!!, Ave Mujica",admin
1382,[搬运] 《猫眼三姐妹》主视觉图，9月26日播出,动画/番剧,0.95,"猫眼三姐妹, 北条司, 末田宜史, 森ハヤシ, 薮本陽輔",hcahcsroR
1372,神之谷搞的罗杰团战力崩了,游戏,0.95,"神之谷, 洛克斯, 罗杰团战, 金狮子团, 蜂窝岛",462sd
53,专楼合集,虚拟主播/VTuber,0.95,"VTuber, 社团, 企业, 专楼, 合集",hoshikaze
54,AI创作讨论合集,动画/番剧,0.95,"AI创作, 二次元, 作品",EndMP
1370,有没有主舞台在东京都市圈以外的少女乐队,游戏,0.95,"邦邦系列, 小孩姐, 波奇酱, GBC",央土上元
1357,老哥们，要能听懂音声的话日语应该怎么学啊？,动画/番剧,0.95,"asmr, 日语, 听懂",a罗淇鹏
1358,[拼装]好兄弟们可以看一下这家店,手办/周边,0.95,"好兄弟, 省钱卡, 到货, 老板",仍慕闲云野鹤
59,八门凯应该比初代火影墙吧。,动画/番剧,0.95,"八门凯, 火影, 班, 初代",skilxlese
1360,奥美迦怎么了,游戏,0.95,"奥美迦, 比特利迦, 利维斯",爱丽丝异典
1361,有没有让普通人看不出是AI的图？,动画/番剧,0.95,"AI生成图像, 绘画, 图像识别",愚鱼欲与渔语
1362,乔伊波伊和伊姆会不会也很压抑？,动画/番剧,0.95,"乔伊波伊, 伊姆, lili, 夏琪, 大压抑时代",Multihood
1363,跳脸的Mimi,动画/番剧,0.95,"跳脸, Mimi",SakaiShana
1364,试析《我和女友妹妹接吻了》,轻小说,0.95,"我和女友妹妹接吻了, 海空陆, 晴香, 博道, 时雨",椰子噢
1365,小智上这六个是不是随便赢,游戏,0.95,"小智, Pokemon",Just｜Monika
58,[新闻资讯] 2025 年 9 月第一周 (9 月 1 日 - 9 月 7 日) 手办模型情报汇总,手办/周边,0.95,"BanG Dream!, GSC, Max Factory, FREEing, SHIBUYA SCRAMBLE FIGURE",hcahcsroR
1366,范海辛家族奋斗史,漫画,0.95,"范海辛, 家族, 奋斗史",小独角丘比猫
57,[安利/剧情] 它不只是一款游戏，更是一部可以玩的黑暗童话  《空洞骑士》世界观与剧情入门 (备战丝...,游戏,0.95,"空洞骑士, 圣巢, 虚空, 灵魂, 梦境",那就原谅他
1368,胆大党第二季是不是相对变穷了？,动画/番剧,0.95,"胆大党, 超然仔, 爱罗, 麦田, 摇滚大战",ForsWall
56,[二次元游戏评测] 光环之下的荆棘 《丝之歌》首发版深度体验与吐槽,游戏,0.95,"丝之歌, 空洞骑士, 本地化, 翻译, 难度",那就原谅他
1369,尤贝尔像旁芙莉莲,动画/番剧,0.95,"尤贝尔, 旁芙莉莲",SakaiShana
43,超级战队新闻，女主被已婚皮套演员泡了,动画/番剧,0.95,"超级战队, 豪兽独角兽, 茉耶, 已婚皮套演员",爆裂战士铁蓝宝
42,[恋人不行]有没有小说党给我透露下后面王总要怎么跟紫阳花抗衡,轻小说,0.95,"王总, 紫阳花, 三人行, 1v1",奔夜
1383,一部动画想要在画面上让人看的舒适，跟画面上色是否有着重大关系？,动画/番剧,0.95,"刃牙道, KAI社, 赛马娘2, 地狱老师, 风都侦探",10RANCE
1398,好遗憾啊，绝唐动画的浩东三绝,动画/番剧,0.95,"绝唐动画, 浩东三绝",阿斯顿法国QWERT
1401,虽然大伙吐槽美剧性开放，但事实上现实老美在这块却是逐步缩水的情况好像,其他,0.95,"性生活, 性取向, 研究报告, Institute for Family Studies, General Social Survey",shinrex
1402,好多老师感觉失踪了一样,漫画,0.95,"濑奈阳太郎, 人造人, kakao, hamao, 杂志",农村破落户
1403,[游戏归猴] 丝之歌氵，想不到一个介绍速通技巧的视频能这么燃，空洞骑士有介绍速通技艺的视频吗?,游戏,0.95,"空洞骑士, TAS, 速通, 邪道",艾尔伯特爱因斯坦
1404,[声优氵]被中国便利店卖的套套所震惊的佐仓绫音,动画/番剧,0.95,"佐仓绫音, 声优, 便利店, 套套, VTuber",仟音一心
1405,zzz女主身材不错,动画/番剧,0.95,"女主, 身材",oftc3121
32,头号不伦战队：角妹恋上皮套已婚大叔，留洋体育生惨遭ntr,动画/番剧,0.95,"头号不伦战队, 角妹, 皮套, 已婚大叔, ntr",Overtheworld1st
1406,什么，碾压墙不是退环境了吗,动画/番剧,0.95,"碾压墙, 环境, mon_202509",Just｜Monika
1407,你别说，咒术这乙骨孙女还挺可爱的，换了画师不用看鬼脸也挺好的,动画/番剧,0.95,"咒术回战, 乙骨忧太",shinrex
1408,看完高达GQX后，再看到这句话心情复杂,动画/番剧,0.95,"高达GQX, 阿姆罗, 拉拉, 机动战士高达",牛牛福福
1409,咒术续作第一话大致剧情,动画/番剧,0.95,"咒术回战, 乙骨忧太, 咒术, 能源危机, 绑架",doyun26
1410,原来是普通的凡间狗,动画/番剧,0.95,"Kuma Kuma Kuma Bear, Kumakuma, Bear, Bear Boy, Racchi",安东斯拉维克
31,[破事氵] 主页帖子推荐机制的疑问，什么样的帖子能登上主页？,动画/番剧,0.95,"主页, 精品贴, 推荐机制, NGA",那就原谅他
1412,这些赛马娘动画好萌呀。,动画/番剧,0.95,"赛马娘, 城里马",2000年的巴蒂斯图塔
30,轨迹水。熬夜通了界轨，迟到半年的吐槽。,游戏,0.95,"轨迹, 轨迹2, 界轨, 范爷, 亚妮艾斯",不再妄想的猪
1413,正能量漫画来了，《被我弄坏的她》,漫画,0.95,"被我弄坏的她, 正能量",Just｜Monika
1399,虎虎生威拍的有点太好了,动画/番剧,0.95,"虎虎生威, 喜羊羊, 狼村, 虎威太岁, 灰太狼",雨声鹤高
1397,还有cos萝莉神的啊，真少见,动画/番剧,0.95,"cosplay, 萝莉, 神",Just｜Monika
1384,久闻实教大名，这两天抽空补了番，感觉智斗不如笨蛋测验召唤兽,动画/番剧,0.95,智斗不如笨蛋测验召唤兽,山村榴花
34,距离贝克街贝克街221B就3公里左右吗？感觉可以出相关二创了,漫画,0.95,"贝克街221B, 柯南/名侦探柯南",呼啦圈呼啦圈巴莱
41,哪吒2魔童闹海 日语吹替CAST公开 12月26日上映,动画/番剧,0.95,"哪吒2魔童闹海, 田村睦心, 增田俊树, 伊藤健太郎, 日野聪",仟音一心
1385,黄昏天使氵，最后痛苦天使活到宇宙热寂只剩铁之后还算活着吗？,动画/番剧,0.95,"黄昏天使, 宇宙热寂, 天使",南下北落师门
1386,[数码氵]看婊吧又在开数码4，所以如果重置改编能怎么救呢,游戏,0.95,"超魂, 六双魂, 皇骑, 斗士",Mkunnnnn
40,[假面骑士氵] (转)为什么日本人讨厌圣刃，日本博主总结的圣刃的缺点,动画/番剧,0.95,"假面骑士, 圣刃",MASTERLOGOS
1388,NUKITASHI 拔作岛 直播贴,虚拟主播/VTuber,0.95,"NUKITASHI拔作岛, 直播",别人说我笨
39,2025了，阿代打算在国内开发创战者系列,手办/周边,0.95,"阿代, 创战者系列, HGBF系列, 胶",待兼福来厨
38,[讣告]小豆泥也在今天走了啊,游戏,0.95,"乌拉拉, 小豆泥",吞噬众神的咸鱼
1389,看到这图，我就想起了3000字的莉音小作文,动画/番剧,0.95,"莉音, 小作文",Just｜Monika
1390,"藤本树""电锯人 蕾塞篇""观影特典小册子'恋·花·电锯·指南'封面",动画/番剧,0.95,"电锯人, 蕾塞, 电锯人 蕾塞篇, 观影特典, 小册子",红苦艾Clover
1391,[吐槽一句] [无聊水一个] 你是空洞骑士，你是纯粹容器,游戏,0.95,"空洞骑士, 丝之歌, 大黄蜂, 小骑士, DLC",八云 紫
1392,[今日迷思]女仆装是应该配白丝好还是黑丝好,动画/番剧,0.95,"女仆, 女仆装, 白丝, 黑丝",Respecolt
1393,求问大伙恋爱番有什么姐系女主推荐吗？最近看了好多网上评价比较高的，辉夜中二病古见这种，但好像都是妹系...,动画/番剧,0.95,"恋爱番, 姐系女主, 辉夜中二病古见",贺词三号v
1394,花海姐妹1字马,动画/番剧,0.95,"花海, 姐妹",丶夜鹰之梦丶
35,奥美加奥特曼朱雀装甲,动画/番剧,0.95,"奥美加奥特曼, 朱雀, 装甲",久远寺宅的草十郎
1396,[新番讨论][专楼][漫改] 帝乃三姐妹原来很好搞定。(09.10 #10 天才的背后),动画/番剧,0.95,"帝乃三姐妹, 平川绫, P.A.WORKS, 松林唯人, 周刊少年Sunday",aloereed
1213,一根华仔宣布不再制作《赛马娘》抽象视频,动画/番剧,0.95,"赛马娘, 华仔",暗淡蓝点n
92,腾讯漫画的原创漫要完蛋了吗,漫画,0.95,"腾讯漫画, 原创漫",color1237
1211,天之杯节奏好奇怪,动画/番剧,0.95,"天之杯, Saber, 呆呆, 樱凛, 伊莉雅",欸诶
165,海贼王新情报 龙哥就是龙，这一枪比他爸强太多了,动画/番剧,0.95,"海贼王, 龙哥, 香克斯",暂无此人N先生
1081,[贫乳氵] 是不是可以说有起伏的贫和完全的一马平川算是两种xp,动画/番剧,0.95,"贫乳, 起伏, xp, 巨的那边有",麦林Mognum
1082,这 今天遇到情节 着也太反套路了,游戏,0.95,"RPG, 游戏, 圣物, 古代科技, 攻略",leah1
1083,[代码氵]为不同的情形设置大量的if语句是不是一种十分常见的做法？,游戏,0.95,"UT (Ultra Tenderness), 炉石姐夫 (Hearthstone), if语句, 游戏开发",伯利欣根和埃达
164,流龙马分支好多啊,漫画,0.95,"龙马, 漫画踢馆狂魔, 龙马世",oftc3121
163,西幻版福尔摩斯,游戏,0.95,"DND, PF, 福尔摩斯, 西幻",狂笑的蟒蛇写散文3
162,[轨迹归侯]B站PS官号发教师节快乐带上了黎老师，但是选图是闪4的锁链黎老师,动画/番剧,0.95,"轨迹归侯, 黎老师, 闪4, 闪3, PS官号",MikuHatsuneyo
1085,[q娃]妄图租小孩参加q娃活动的发言被炎上,其他,0.95,"q娃, 家庭区域, 亲子区, vivi expo, 光美展区",无漏的伟健
161,[京吹氵] 补完了，感觉3挺好的(没看过小说),轻小说,0.95,"高坂, 久美子, 黑江, 音乐大学, 志愿",你说不行
160,[新闻资讯] 2025 年 9 月第一周 (9 月 1 日 - 9 月 7 日) 手办模型情报汇总,手办/周边,0.95,"BanG Dream!, GSC, Max Factory, FREEing, SHIBUYA SCRAMBLE FIGURE",hcahcsroR
159,[破事氵] [剧透] 整两拳套去劫法场还不如去建材市场整两根螺纹钢,动画/番剧,0.95,"保龄球少女, 穿越, 劫法场, 红毛, 历史",帝国の手游仙人
1087,炎灾烬的翅膀是长出来的，但其他所有空岛人的翅膀都是装饰，这个设定里有明说吗？,动画/番剧,0.95,"空岛篇, 空岛人, 炎灾烬",岩砂土
1088,[破事氵] 回顾傻子那遇到佣兵那两次的剧情演出都让人有点别扭,动画/番剧,0.95,"佣兵, 三红, 裙甲, 剧情",快斗真帆
1089,这种像塑料一样半透明的衣服有什么TAG吗？,动画/番剧,0.95,"半透明衣服, 似露非露, 涩",悠远的地平线
1090,不断被加强的大凤,动画/番剧,0.95,大凤,丶夜鹰之梦丶
158,《原来如此原来如此》,动画/番剧,0.95,"原来如此, 动画",Just｜Monika
1080,更衣人偶氵，这集感觉好神,动画/番剧,0.95,"更衣人偶, 喜多川海梦",半米赛跑
1078,[Q娃氵] 一部超过30集才介绍C位的偶像动画,动画/番剧,0.95,"偶像, 动画, 30集",fkh012345
1127,[测评报告]点厂RG海牛铁骨个人修件经验分享,手办/周边,0.95,"点厂, RG, 牛, 铁骨, 修件",zeruel0216
1077,什么叫“外星王子萨达姆”？,动画/番剧,0.95,"外星王子, 萨达姆",商恩
1063,对自己缺乏自信的百变怪,动画/番剧,0.95,"百变怪, 自信",SakaiShana
170,[拼装]HG 吉莱 标准装甲,手办/周边,0.95,"HG, 吉莱, 标准装甲, 拼装, 模型",Burning_Zhunxi
1064,科学小飞侠crowds对圣人系角色的刻画,动画/番剧,0.95,"科学小飞侠crowds, 一之濑初, 圣人系角色",sztcsjx
1066,有什么不得了的东西崩坏了,游戏,0.95,"崩坏, 机械少女, 崩坏2",早赖尿邮箱
1067,只隐约记得一个情节，希望泥潭人工智能可以帮忙找出处,动画/番剧,0.95,"反派, 痛骂, 孤独, 悲惨, 坏事",想退休0219
1068,(魔法少女的魔女审判)友友们来点图,动画/番剧,0.95,"魔法少女, 蓝色开心果, 诺亚, 审判",冲田の信长
168,牙狼大河首映了,动画/番剧,0.95,"牙狼, 元老院, 魔界生物, 人类",gawainli
1070,[BadGirl氵] 凉鸟是好文明,动画/番剧,0.95,凉鸟,fkh012345
1072,假如鲁路修是个变态,动画/番剧,0.95,"鲁路修, 尤菲, 死亡",Abckksmd
1073,龙珠动画的汉化组只有一个老的吗？,动画/番剧,0.95,"龙珠, 汉化组, 翻译错误",Diszativer
1074,黑丝之歌cos图来了,7. 音乐/歌曲,0.95,"黑丝之歌, 黑丝",Just｜Monika
1075,JOJO里面的最终boss关，通关方式最不合理的是哪个？,漫画,0.95,"JOJO, 最终boss, 关",アヴィスの意志
167,[可动成品]震天尊和它的豪华运输箱,手办/周边,0.95,"震天尊, 豪华运输箱, 手办",血魔-D
166,[新闻资讯]酸浆果这板件劣化得真快,手办/周边,0.95,"酸浆果, 大青椒, 塑料颗粒, 模具受损, 橘皮",好想找个富婆啊
1076,狗屎，别玩,游戏,0.95,"夏思源, 欠损, 差分, 屠夫, 跳跳乐",是萝莉就能当妈妈
157,让你在床上玩这套，男主被吓跑了吧，不过有点难崩，腰带桑被优化了，只需要想象力就可以变身了,动画/番剧,0.95,"腰带桑, NGA, 床上, 想象力",Just｜Monika
1092,[火影氵]完全体尾兽强，还是完美人柱力形态更强,动画/番剧,0.95,"火影, 尾兽, 鸣人, 九尾, 人柱力",玛丝洛娃
156,聊聊自己心目中的历史最佳OP/ED演出吧,动画/番剧,0.95,"魔法少女毁灭者, 乒乓, 天国大魔境, 心理测量者, 星际牛仔",zjrdxys
1093,丝之歌的日语还有这意思,轻小说,0.95,"丝之歌, Re:ゼロから始める異世界生活",街健夜鱼
147,[新番讨论][专楼] 少女乐队的呐喊/GIRLS BAND CRY [完结撒花][原创][2024年...,动画/番剧,0.95,"少女乐队的呐喊 (Girls Band CRY), NINA, MOMOKA, SUBARU, TOMO",石中玉5265
1113,补我独自升级，一见到第一个副本的刀枪不入的大蛇下意识想到的攻略法就是钻进嘴里给它来发大的,游戏,0.95,"独自升级, 大蛇, 攻略, 勒死",KOISHIYAKUMO
1114,[巨人]第二季最后一集艾伦夺还战，被深深地震撼到了,动画/番剧,0.95,"进击的巨人, 艾伦, 米卡莎, 铠巨, 汉尼斯",幻色轨迹
1115,传颂之物op这一幕真的好有感觉，顺便问一下两个弓箭手是男的还是女的,动画/番剧,0.95,"传颂之物, 弓箭手",皮卡丘跑快快
146,想玩魔裁了，但是没接触过这种游戏类型，想问一下怎么整,游戏,0.95,魔裁,Z-J-Y
1116,[求物]求人妻asmr的推荐和交流,其他,0.95,"人妻, asmr, 间男, 家鸠占鹤巢, 偷情感",pcadp21
1117,[Mygo][长篇]人偶镇魂诗,轻小说,0.95,"镇魂诗, 祥子, 世纪, 转职社畜, 异世界",yumemichan
1118,《尖帽子的魔法工房》动画延期至2026年,动画/番剧,0.95,"尖帽子的魔法工房, 动画",SakaiShana
145,为什么国内的网文没有轻小说化这种说法,轻小说,0.95,"无职, re0, 骨王, 轻小说化, web连载",松鼠987412
1120,胆大党这怪兽变大感觉味挺正的,动画/番剧,0.95,"怪兽, 变大, 洞里看人",xyq552278
1121,[破事氵]要真是异能战斗有复制能力，复制队友的明显比对手靠谱吧,游戏,0.95,"异能, 复制, 队友, 经验, 技能",薄伽丘的小黄书
143,熬夜看了十卷高分少女,动画/番剧,0.95,"eva, 戈尔巴乔夫, 克林顿, 舒婷, 小珍珠",枸杞中毒
1123,兄弟们，10月番有什么值得推荐的吗,动画/番剧,0.95,"10月番, 千岁",jc914
1124,[SRWY]梅萨只是急着杀青去当假面骑士而已,动画/番剧,0.95,"名仓, 梅萨, AXIA, 名仓, 复活赛",Haitanishinji
1125,假面骑士氵 终于开始补令和骑士了，从01开始,动画/番剧,0.95,"假面骑士令和, 骑士, 空我, 鬼仔, 响鬼",1糯米糖果1
1111,[拼装]寿司郎,动画/番剧,0.95,寿司郎,待兼福来厨
150,求助猴区大佬，找本漫画,漫画,0.95,"校园格斗, 职业杀手, 学生会长, 爆衣, 神器",snake2911
1109,[高达氵]关于nt感应和做爱做的事,动画/番剧,0.95,"高达, NT, 感应, 做爱做的事, XO",shinnippor
1101,偶Q剧场版预告，前辈回归画面,动画/番剧,0.95,"偶Q, 剧场版",久远寺宅的草十郎
1094,男主：不紧要，…嘎…我两个都同样的操呀…嘎，没想到老婆和辣妹上司一起来了,动画/番剧,0.95,"老婆, 辣妹上司, 操, 二次元",Just｜Monika
1095,乙骨没守活寡会有人觉得隔阂很正常，调侃一下也没什么问题，但以此认真骂他是渣男就过了吧,动画/番剧,0.95,"咒术回战, 乙骨忧太, 里香, 真希, 咒0",Hopevheater719
1096,[魔裁氵] [同人创作][含本体剧透]魔法少女的魔女裁判-The Day After~深罪的三重奏,动画/番剧,0.95,"魔裁, 艾梅, 梅露露, 绫华, 魔女因子",甲醛弹
1098,[新闻资讯] MXF <古立特宇宙> figma 宝多六花 古立特宇宙Ver.,手办/周边,0.95,"古立特宇宙, 宝多六花, figma, Max Factory",hcahcsroR
1099,机战y目前来看台词活多的还歹是希罗啊,动画/番剧,0.95,"机动战士高达, 希罗, 天帝, 灵光战士, 暗黑大将军",oftc3121
1100,少女乐队教你认识街霸6术语！,游戏,0.95,"街霸, 格斗术语, 少女乐队",HuniePoppuppy
1102,我到现在玩游戏还是见不得美好的村庄被图光的桥段,游戏,0.95,"游戏, NPC, 村庄, 桥段, 破坏",疯狂的大主教
1210,莫利亚的含金量也上升了，神之谷居民和光月一族,动画/番剧,0.95,"神之谷, 莫利亚, 黑胡子, 光月一族",新死难者23eer
1103,是各种各样形态的初音呢，尤其是用鄙视的眼神俯视看着，至福,虚拟主播/VTuber,0.95,"初音, 虚拟主播, VTuber, 俯视",Just｜Monika
1104,好大的皮卡丘！,动画/番剧,0.95,皮卡丘,丶夜鹰之梦丶
1105,甜蜜女友3好感度系统,漫画,0.95,"甜蜜女友3, 明羽杏子",flyingover
1106,[小报]剧场版《哆啦A梦 新·大雄的海底鬼岩城》2026年上映,动画/番剧,0.95,"哆啦A梦, 大雄, 海盗, 海底鬼岩城, 藤子·F·不二雄",SakaiShana
152,又是对莉音犯错误的一天,动画/番剧,0.95,"莉音, mon_202509/10/-9lddQ2w-73beK2pT3cSkc-sg.jpeg",Just｜Monika
151,[机战] 风灵高达的浮游炮是不是和其他高达的不同？,游戏,0.95,"水星的魔女, 风灵高达, 纹章盾, 浮游炮, 强袭自由",牛牛福福
1062,[火影氵] 以前对“佩恩之后无火影”这种说法嗤之以鼻，现在好像逐渐理解了。,动画/番剧,0.95,"火影忍者, 佩恩, 鸣佐, 忍界",SAMSONSHALT
1061,做了个吉姆3,手办/周边,0.95,"吉姆3, 拼胶, 手办, pc件儿, 光剑",雾雨魔力瞎
1060,[整活]奥特仙侠传,轻小说,0.95,"奥特仙侠传, 贝雷涯, 戾无浪, 万魂老祖, 九天玄火塔",woaitiwenti
190,能让绿川光对你说“我要杀了你”，就算邀请函被撕了我也愿意呀,动画/番剧,0.95,"绿川光, 希罗, 邀请函",AlexiusRH
199,现在看来忘语碰到凡人制作组算是很幸运了,漫画,0.95,"忘语, 凡人制作组, 版权问题, 网文本",thedogk
198,最开始还以为海军只是防止人逃走,漫画,0.95,"海军, 尾田黑, 天龙人",新死难者23eer
1011,[破事氵] 柯南宇宙里怎么会出现京极真这种逆天角色,动画/番剧,0.95,"柯南, 京极真, re0剑圣, 肠姐",千早如月
1012,动画公司真的有必要扯到游戏内容就自己建模做出个3年动画吗？,动画/番剧,0.95,"雨色协议, 瓦, 彩虹六号, 派, 吃鸡",活久见套路深
1013,真看过鬼灭的还能有这种疑问？,动画/番剧,0.95,"鬼灭之刃, 岩柱, 上弦六",Yaqstar
1014,和大车一起待在封闭空间的正太,动画/番剧,0.95,"大正时代, 正太, 封闭空间",Just｜Monika
1015,[老番安利]想推荐一部喜欢了快20年的冷门佳作——大暮维人的《飞轮少年》，足以吹散夏日燥热的自由之风...,动画/番剧,0.95,"飞轮少年, 大暮维人, 滑轮, 热血, 时髦值",陪赫萝吃苹果
197,哥布林桑莎和骑士芙蕾恩,游戏,0.95,"哥布林, 桑莎, 骑士, 芙蕾恩, Wabbajack69",SakaiShana
196,[无聊水一个]我前段时间好像看到过这种剧情的短篇小说,轻小说,0.95,"资助生, 大学寝室, 北京, 上海, 香港",八云 紫
1019,你们这是正经忍者吗？,动画/番剧,0.95,"忍者, mon_202509, mp4",丶夜鹰之梦丶
193,修女会好像就玛丽特别色得起来呢,动画/番剧,0.95,"修女会, 玛丽",SakaiShana
1021,《和游泳部的女友去海边》,动画/番剧,0.95,"游泳部, 女友, 海边",Just｜Monika
192,推理归猴 福尔摩斯式推理是不是不需要太多设计？,动画/番剧,0.95,"神探夏洛克, 福尔摩斯, 推理",xyz_official
1023,[勇战R氵]鲁卡的xp真是多元化,动画/番剧,0.95,"鲁卡, 巨人的舌头, 幼儿化, 大胃袋",Starcoin
1025,十年后竟然和那个毒舌小恶魔后辈结婚了,动画/番剧,0.95,"十年后, 毒舌小恶魔, 后辈, 结婚",丶夜鹰之梦丶
1009,有哪些漫画中期小BOSS是像艾尼路这样出场太早被剧情杀了？,漫画,0.95,"艾尼路, 空岛, 霸气, 漫画, 小BOSS",岩砂土
1008,[禁止剧透]总之先开一个神之天平直播帖(进度：新章完结),动画/番剧,0.95,"神之天平, 直播, mon_202509",Vortexide
200,把那个像男孩子的青梅竹马变成女人了,动画/番剧,0.95,"青梅竹马, 像男孩子的, 变成女人",SakaiShana
203,有没有哪些战斗番实际的战力其实不如普通人？,动画/番剧,0.95,"战斗番, 战力, 普通人",柒个果
206,空我哥穿上裤子就不认人了,轻小说,0.95,"达令, 空我哥, 一夜夫妻百日恩口牙",没反应的3k
205,看大家在讨论全作最美角色 那有无全作最美的结果是个女装大佬的,动画/番剧,0.95,"全作最美角色, 女装大佬",爱民如子石天王
204,哥斯拉穿金色比基尼是什么效果呢,动画/番剧,0.95,"哥斯拉, 比基尼, 金色的",oftc3121
993,什么是人妻感？,动画/番剧,0.95,"人妻感, 人妻",381毫米口径主炮
994,今年4月有啥霸权番吗？,动画/番剧,0.95,"高达, 吊带袜天使, 金牌得主, 5头身",小牛战神董琪琪
996,这个装扮总让我联想到中二病,动画/番剧,0.95,"中二病, 金木研, 海腾, 中二病谈恋爱",Cerydra
998,(周日色p)感觉那种男方主导的，“让我看看！”连品带挠的足控越来越少了,动画/番剧,0.95,"色p, 足控, 男方主导",疯狂的大主教
1005,[百变怪娘]劝说,动画/番剧,0.95,"百变怪娘, 劝说",SakaiShana
999,本集龙仪离队  下集二代豪兽暴龙,动画/番剧,0.95,"龙仪, 豪兽, 暴龙, 二代",久远寺宅的草十郎
202,TV动画《那就是声优》十周年纪念绘,动画/番剧,0.95,"那就是声优, GONZO, 畑健二郎, 博史池畠, 石川真一郎",最后的勇者巴莱
